text,rating,account_age_days,verified_purchase,multiple_ips,label
"Amazon was at one time a brilliant service, now im afraid its gone downhill and getting worse.1 Poor delivery service2 Constant failed deliveries3 Customer services that lie to you4 Constantly having to chase up deliveriesI ordered 4 items recently, due to past delivery issues I opted for locker delivery and that also turned out to be a mistake.One of the items was missing and the traking showed as attempted delivery failed and would be delivered that day.Sadly Item never got redelivered, contacted Amazon who assured me the iten would be deliverd in the next 24 hrs.They offered me a refund on the item and as a gesture of goodwill said when the item arrives the next day I could keep it and have it for free.Cant say I was suprised when the item never turned up anyway.This has happened frequently and the need to chase orders is more common.To be fair the prime subscription is a waste of money as they very rarely deliver as promised and quite often the next day delivery turns ito 2 days or not at all.Overall useless drivers and customer service that tell you lies.",1.0,519,1,0,0
Terrible business principles. Company blatantly selling counterfeit items. When reported to them they’re completely uninterested,1.0,1321,1,0,0
"After ""publishing"" with kdp, my opinion of amazon as a whole has completely plummeted. I have had the chance of experiencing their practices from another point of view, and believe me, they are a horrible, scamming company with no morals.First off, they are selling you a lot of ""self published"" crap, anyone can do in their basement in a remote country. Low quality is guaranteed on 90% of what comes out of it.If you published with them and care about quality, that doesn't matter. They can axe your account with little to no explanation, keep your hard earned profit and expect you to pay for ads you used to generate those profits they are keeping.  Amazon is a cruel company with no morals, so they also lost me as a customer. Boycott it at every turn. I'm hoping a competitor comes around. As for books, I'll be shopping online elsewhere, and so should you, there are much better alternatives with much better quality.",1.0,1669,1,0,0
"Amazon has gone downhill tremendously! My husband and I have had horrible customer service, packages not received, no refunds, and we had to dispute multiple items and file police reports. In addition, their return policy used to be instant once an item was dropped off at UPS and a receipt was printed. that is no longer the case and it takes up to 30 days for refund? Absolutely not. Customer service is foreign and arrogant, and they do not care, understand, and refuse to answer questions while using generic auto typing that is not relevant to the issue at hand. I will not be using amazon any longer!",1.0,1079,1,0,0
Wide selection. Fast shipping. Never had a problem with merchant,4.0,1466,1,0,0
They would not send me an email confirming what they told me they would do until they hung up with me... then they hung up on me.   Their customer service is a joke they wait and charge you for things that I never receive.,1.0,932,1,0,0
So much variety and great prices. I can find almost everything I need on Amazon,5.0,1003,1,0,0
"First, I tried a free trial with Audible. This was impossible to cancel. When I tried I had to pay first before I could cancel - so much for free.Second, I tried a free trial with Prime. After 28 days I tried to find my Prime account on Prime and Amazon. Both said I have no Prime account - so nothing to cancel. Then 2 days later they took money from my bank.Not only do they treat staff like trash, but customers too.",1.0,1845,1,0,0
Amazon Prime only!  Shipping time was changed from 2-3 days to 8+ days without any notice. Prime is no longer worth the $15 a month for my situation.,2.0,1272,1,0,0
"It’s Amazon. What else do we need to say at this point? They’re pretty much the most trustworthy online merchant in the business of online shopping at this point, they’re always consistent, dependable, and fast. Not every seller on there is, but Amazon seems to care about that. If you still haven’t tried Amazon yet, you’ll be pleased.",5.0,13,0,1,1
Courier threw my package over the fence and into a massive puddle whilst it was raining... How stupid can you get.. Contents are ruined.Thanks Amazon,1.0,1314,1,0,0
27 minutes and counting on hold  to resolve an issue that shouldn’t take more than 5.  As anAmazon Prime member I always try to choose no rush shipping so I can accumulate credits for renting movies on Prime.  My balance went from $6.00 to $0 in a week when I never rented anything.  Well it’s 33 minutes and counting and still on hold without resolution.,1.0,1194,1,0,0
I opurchase some lite bulbs from Amazon recently and the service was good. One was broken on arival  and they replaced straight away. Thanks.,4.0,20,0,0,1
Still waiting for A delivery which was meant to be Thursday 14th I no longer need now as this was a birthday present. I want to cancel the order for refund but can’t find any way of talking to and actual person,1.0,546,0,0,0
Poor knock off and cheap products have been flooded into amazon over the last few years so you really have to mind what you buy. I dislike the direction the business is headed. Reviews for many products are sometimes generated by sellers giving away their products for free or by sellers sending out to customers who never ordered. Shocking service recently. Subscribe and save product got duplicated and charged twice. I was told I really need to tell them within 30 days after the last time the item didn't arrive. I set up automatic delivery so I don't have to worry about it. Took me 1 hour on chat to get that sorted. No longer an amazon customer.,1.0,382,1,0,0
"never ever again ! if they gave things for free , never !!! not worth the headache",1.0,103,1,0,0
"Time to put a stop to this grasping and dishonest International beast!!Amazon seem to have started a new scam now. Advertise next day delivery, take your hard earned money, don’t give accurate tracking details and wait to be contacted. When you do contact them as all other reviewers have said, you go round in circles. My Mum has been on her own all Year and Mothers Day gift (advertised as ‘get it tomorrow’ on my Prime account). Never showed up so lonely Mum and no gift. Thanks a lot Amazon!!  Chased every day and contacted the seller. Just got weird random and repetitive responses. Wouldn’t agree to re-send until 5 days later. Also ordered something else and said next day delivery. Never showed but got message saying delivered. Contacted them AGAIN, (so bored of spending my time trying to get them to do their job). Got a message saying they had updated their system too early and item would be 2 more days at least. To cap it all I ordered white paint only to receive bright pink this morning!!!  And they refuse to post true and accurate bad reviews anymore. This is all in the last 10 days. Enough is enough. I’m going to spend with independent small businesses. Not lining corporate thieves’ pockets any more.",1.0,351,1,0,0
Awesome website a lot of items to choose from.,5.0,1768,1,0,0
"Placed an order and chose the delivery option of 1pm delivery. Delivery still not arrived by 11pm.When speaking to advisor JEET CHANDRAKANT I was told that they couldn't deliver to the amazon locker as they were all full. And I would receive my delivery in 48hrs. I pay for prime which is supposed to give you access to next day delivery so I could order a new one and have it delivered before my original package arrived. The advisor JEET CHANDRAKANT just kept repeating the same phrase ""thisp has been raised with the relevant team and you will receive your item in 48hrs"". When asked how this is supposed to benefit the customer, I was given the reply of ""I am not authorised for this"". So basically amazon customer services aren't able to provide customer service or satisfaction! Who knew!",1.0,704,1,0,0
Be careful not to get scammed. Ordered and Payed for a phone. After 10 days got a cancellation note and after a week no refund.,1.0,15,0,1,1
"I find almost everything I need from them, my account is set up, I buy with one click. Done deal. Love the service, no hassles !",5.0,1467,1,0,0
"Amazon became horrible, would not buy thins there again. No customer service whatsoever, the site keeps you spinning in circle without giv8ng an option to contact a customer service representative.",1.0,625,1,0,0
"I ordered a 1300 dollar tv and all set for delivery for today, i literally get an email yesterday stating i'm sorry but your order has been delayed, really?? You email me the day before? I had people coming over for football sunday but that got screwed. Thanks. Would not let me cancel order when i called as well, said you cannot cancel once it's out of the warehouse, so they are allowed to screw people over and you can't even cancel and get a refund? Manager tells me just refuse delivery, great meanwhile who knows how long it will take to get my refund, i read all the bs horror stories about them. Never had 1 issue with amazon, even when delayed, let me know in advance, i literally ordered this item 2 weeks in advance... Done with this company after this, other places do the same thing and take just as long for delivery anyhow.",1.0,441,0,0,0
"The WORST customer service ever.I called 13 times, wrote millions of emails to report the SAME issue of someone hacking my account and they assumed that I have unpaid orders. Now i'm stuck with 74 euros for a product that I NEVER ORDERED OR RECEIVED and a BLOCKED account.NO ONE IS SOLVING MY PROBLEM. IT'S BEEN MORE THAN THREE MONTHS NOW. Every time I receive the same automatic email they don't even bother to do their work and effort. Harassments, unprofessional, inconvenient!",1.0,537,0,0,0
"Amazon is simply the best. Fast shipment, excellent prices and greatest books selection. Recommended",5.0,1094,1,0,0
"Excellent customer service and so convienient having next day delivery, especially during this pandemic. I love that you get prime video included in the subscription service as well. I also really like amazon music as it has such a vast range of music and is considerably cheaper than spotify or youtube premium!",5.0,1098,1,0,0
I ordered 4 solar panels a month ago and Amazon has not delivered them.  They keep saying it is a 3rd party and the tracking number for UPS is invalid post on my delivery info.  I just read the USA today story and it appears I'm just 1 of thousands getting rob by Amazon.   Will never use this company again.,1.0,162,1,0,0
Amazon UK is getting worseAwful kindle support / returns not refunded / Collections not done at the proper time...you cannot register your kindle device in another country if you travel and buy books...so complicated,1.0,840,1,0,0
"Everything anyone would need, great return policy and fantastic prices!",5.0,1193,1,0,0
"1 week ago, I wanted to order a digital google play code on my amazon.com account. Before this order process, I was both a prime member and purchased physical products from their local sites. However, during this digital order, instead of directing me to the payment page, amazon timed the product and did not demand payment. He kicked me out of my account while I was waiting for it to withdraw and said my account was blocked. I submitted the receipt, bank account information and identity information he requested, but in vain amazon could not verify that my card, which I had previously paid to them, belonged to me for a long time. There can be no nonsense like this. I will not use it again! I do not recommend.",1.0,892,0,0,0
5 stars is not enough for the service you provide. Such a luxury to see the products at my front door just a few hours after my order.,5.0,18,0,1,1
"Terrible schedule service, I wait for the whole date for my delivery due to the order required. I schedule date and time for my day off to sign for the item.Nothing showed up and not even a texted message for what happen of my order.If you order something require you present and sign for the delivery, you have to think twice. The schedule delivery means  nothing except waste your time.",1.0,191,1,0,0
"Amazon is usually my first online shopping destination (exceptions being certain specialist item).  Great search facilities, global shopping mall.  When I accidentally end up on the US web site I'd like a button to take me to the corresponding product on the UK site (maybe it exists and I've not found it).",5.0,1400,1,0,0
"Customer service is excellent, however the fees they cut for items sold is way too high.",4.0,894,1,0,0
"After ordering this and paying extra for a next day delivery it has not arrived in 2 weeks and I called to Amazon and they offered me a refund of £4.99 An insult which I won’t accept. Amazon still says that it was damaged in the post so why after speaking to about 6-7 customer service no one informed me about that and waisted 2 weeks of my time !!!!!""",1.0,660,1,0,0
"If I could leave a negative review- I would. For all Amz says- they are obsessed with the customer- they do exactly opposite. Wasted an hour with multiple reps and issue still not resolved to hear the same thing, they can't help me. Amz is a joke- they last thing they care about is: customer- i am definitely taking my business to walmart and target.",1.0,1821,0,0,0
The single worst experience I had with a customer service agent. My fire HD was stolen. According to amazon's website I should de register it from my account and then contact customer services so they can stop it being Re registered by whoever stole it. The agents response was that its not a fault on amazons side and there is nothing they can do. I wasn't asking for anything other then preventing a theif getting a free tablet. He just kept repeating that it was not amazon's fault even though I didn't blame them for anything.,1.0,17,0,1,1
I'm so glad ive got a ring doorbell fitted because otherwise i wouldn't have seen this knob head doing this Unbelievable amazon delivery driver doesn't give a toss about this customers package & he didn't even ring the doorbell I have video footage to proof itAbsolutely unacceptable,1.0,1681,0,0,0
"Limited my 15 year + account that's linked to my prime, music, audio books, ring doorbells and my alarm. Can't get my account back keep getting an auto message saying we sent you an email but never get an email. Call customer Support and they take a bite to send to the department who send the automated email. Still taking money out my account for payments to subscriptions but I can use or login. Been 2 weeks now",1.0,404,1,0,0
"I tried to do the online chat, and the experience was awful. I'm pretty sure it was AI. I did the Amazon Delivery day, my items were supposed to arrive today, yet they haven't even been shipped yet. And it's not letting me cancel my order. Now I need to wait who knows how long for my items to arrive, before I get my money back. Even though I have to go to a store, to buy the items I was supposed to get from Amazon today.",1.0,1487,1,0,0
"Amazon: MOST internet order mistakes & problems? In 2019 my business placed 118 orders at amazon.com. * Over 40% weren't packed properly, contained damaged, defective  or wrong items.  * As year went on more deliveries got slower, slower and late.* Returns were lost for up to 2 weeks at Amazon warehouse(s).* Refunds were incorrect and rarely processed as promised in writing.*Frequently asked questions to Customer Service via online chat and email were NEVER answered !",1.0,29,0,1,1
I’ve ordered some stuff through amazon And the MediaCash seller people kept on inventing excuses until the time for return was over and they they just said “it’s too late now sorry bye.” And I just lost 200€ and amazon would not do anything about it Incredibly bad experience I’m gonna delete my amazon prime account !,2.0,13,0,1,1
"It's trash. Marketed so the public thinks they are getting amazing deals.  You're buying trash. Support your local services and shops please. Help thy neighbor, support the one's who will support you in your time of need. Your community, your family, your city. How many ""cheap"" items have you received that were absolute crap?? Annnddd didn't fit lol. I stopped throwing my money at this trash company long ago",1.0,145,1,0,0
"I am beyond stressed and angry, this experience really has put me off amazon. I'm AUDHD and really don't need this. I returned an expensive item on saturday 2nd September. It says i have till 18th September to return,  hence my panic. I haven't received any type of contact. The QR code was scanned by royal mail, you'd like to think there's some sort of recognition so they can tell you have returned. Today I'm trying to contact a human, so I can ask what's happening, but for 20mins so far, it's taken me from page to page and not giving me any type of contact details. You'd think clicking on customer services would be a shoe in, but no, it just takes you through everything you don't want. Then using the search function to ask directly what I want ""contact human"" or ""customer support"" does it provide contact details for customer service???? No, how to contact alexa emergency services!!! Not even close. I cannot figure out this maze to speak to a human, just getting more pissed off. I sent back a projector costing just under £2k, there should be a dedicated contact person. What am I suppose to do. I feel constant anxiety, this was a lot of money to me, this was my birthday gift. It shouldn't be this difficult and stressful.",1.0,1083,1,0,0
I would never deal with this company ever again the lowest over the low nearly £900 spent on three items and the lying delivery driver said he handed them to me liers I never received them. Closed my account and wouldn’t refund me AVOID,1.0,1279,1,0,0
"Amazon Prime is worth the money. Fast delivery, they even deliver on Sunday with standard Prime delivery.",5.0,324,1,0,0
Great web site,5.0,963,1,0,0
"I like it, just buy from top sellers and you will not have any problem",5.0,200,1,0,0
"Allows scams. Amazon allow the sale of review swapped scams and false advertising. For example, fake 2TB hard drives with modded firmware are placed on review swapped item profiles and Amazon don't remove even though it breaches their own Terms and Conditions",1.0,19,0,1,1
"I would give Amazon zero stars if I could.Ordered a pair of specific shoes and they sent me a completely different pair.Return not straightforward, they don't provide return label and no option to print one yourself, instead you have to search for parcel shop/post office that have label printing facilities which are few and far between.Won't be ordering from Amazon again. They can't get your order right and too much hustle with return label.",1.0,425,1,0,0
"Lately I'm really disappointed with Amazon,, I have a membership and before I had never had any problems with my deliveries, my deliveries  were always on time,, lately there have been a lot of delays/ and reschedules with my deliveries and I am seriously considering to cancelled my membership. Before most of my deliveries were Ups or the USPS now they been using lasership and Amazon and I always have a problem or delay/Reschedule with my deliveries. Really hope I ain't the only one going thru this. Soon I will be cancelling my membership. 👎🏽",1.0,1303,1,0,0
"Damaged Product!Product delivered wasn't what was ordered! Ordered an Oxo Strainer, received something else in place. Strainer was also squashed and unusable. Returning for an exchange just not worth the hassle. Kissed my $ goodbye and strainer now in bin. Customer service is absolutely the worst! Non existent! And they even had the gall to not allow my review!",1.0,1145,1,0,0
I don't understand how I buy an item from you then you tell me you bought it from a 3rd party there's nothing I can do to help you!!!! WOW!!! That's crazy to me. Amazon you lost me today!!!!,3.0,438,1,0,0
"I will NEVER buy anything from this company again. I bought a flashlight for 73 dollars in december. It was surpossed to be a christmas present. I waited and waited, but no message came saying my package had arrived. I wrote to amazon asking for it. First they didn’t answer. Few days later, the page sent me a message saying that my package seemed to be lost. When I asked to get my money refunded, they sent me a message saying that my package had arrived, but when I went to the postoffice, the package had already been sent back. Again I asked for my money to be refunded. They told me that I would get a refund within 10 days. I’ve been asking for the money ever since, no refund. I started asking in january. Now it’s april. Unacceptable. Do your shopping elsewhere if you want to have a present for christmas in time.",1.0,311,1,0,0
"Amazon keeps getting worse all the time. I have had multiple orders recently with most being late, even though Amazon blames the carrier it seems. I get messages like this right after it has been shipped ""Unfortunately, your delivery is running behind schedule. Canada Post is working to make sure the delay doesn’t affect your final delivery time."" That message has been posted right after I get the notification of shipment,  so why is it they blame the carrier when they never actually shipped the item for many days after the order. It's Amazon's fault it is slow not the carrier,  if Amazon would actually ship it out sooner it wouldn't be late. I had an item that was supposed to be delivered that day, that day came and gone and Amazon hadn't even shipped it yet. So obviously the email they send with your guaranteed delivery day means nothing. Why tell you a guaranteed when their guarantee means nothing. Amazon seems quick to blame others for their poor service. I'm expecting another parcel today that was just shipped last night. I highly doubt I will see this item as it was shipped from 1700 kilometers away. Well if they wouldn't have sat on the order for 6 days it would be here. I order from a lot of online companies and Amazon has the absolute slowest service in my opinion.",1.0,1853,1,0,0
very bad experience ,1.0,243,1,0,0
I love Amazon Prime because of the quality service and amazing food at Whole Foods!,5.0,1959,1,0,0
